Title,Author
Gender bias in student evaluations of teaching: “Punish [ing] those who fail to do their gender right,S. Adams
Gender bias in student evaluations of teaching: “Punish [ing] those who fail to do their gender right,S. Bekker
Gender bias in student evaluations of teaching: “Punish [ing] those who fail to do their gender right,Y. Fan
Gender bias in student evaluations of teaching: “Punish [ing] those who fail to do their gender right,T. Gordon
Gender bias in student evaluations of teaching: “Punish [ing] those who fail to do their gender right,L. J. Shepherd
Gender bias in student evaluations of teaching: “Punish [ing] those who fail to do their gender right,E. Slavich
Gender bias in student evaluations of teaching: “Punish [ing] those who fail to do their gender right,D Waters
Declarative and dynamic pedagogical content knowledge as elicited through two video-based interview methods,A. C. Alonzo
Declarative and dynamic pedagogical content knowledge as elicited through two video-based interview methods,J Kim
Students’ preconceptions of professors: Benefits and barriers according to ethnicity and gender,K. J. Anderson
Students’ preconceptions of professors: Benefits and barriers according to ethnicity and gender,G Smith
Exploring the relationship between teacher knowledge and active-learning implementation in large college biology courses,T. Andrews
Exploring the relationship between teacher knowledge and active-learning implementation in large college biology courses,A. Auerbach
Exploring the relationship between teacher knowledge and active-learning implementation in large college biology courses,E. F Grant
Every tool in the toolbox: Pursuing multilevel institutional change in the DeLTA Project,T. C. Andrews
Every tool in the toolbox: Pursuing multilevel institutional change in the DeLTA Project,P. Brickman
Every tool in the toolbox: Pursuing multilevel institutional change in the DeLTA Project,E. L. Dolan
Every tool in the toolbox: Pursuing multilevel institutional change in the DeLTA Project,P. P Lemons
It’s personal: Biology instructors prior­ itize personal evidence over empirical evidence in teaching decisions,T. C. Andrews
It’s personal: Biology instructors prior­ itize personal evidence over empirical evidence in teaching decisions,P. P Lemons
"Building bridges: A review and synthesis of research on teaching knowledge for undergraduate instruction in science, engineering, and mathematics",T. C. Andrews
"Building bridges: A review and synthesis of research on teaching knowledge for undergraduate instruction in science, engineering, and mathematics",N. M. Speer
"Building bridges: A review and synthesis of research on teaching knowledge for undergraduate instruction in science, engineering, and mathematics",G. V Shultz
Visual literacy in Bloom: Using Bloom’s taxonomy to support visual learning skills,J. B. Arneson
Visual literacy in Bloom: Using Bloom’s taxonomy to support visual learning skills,E. G Offerdahl
Unknown Title,"Education, 17(1), ar7...."
Pedagogical knowledge for active-learn­ ing instruction in large undergraduate biology courses: A large-scale qualitative investigation of instructor thinking,A. Auerbach
Pedagogical knowledge for active-learn­ ing instruction in large undergraduate biology courses: A large-scale qualitative investigation of instructor thinking,T Andrews
Teacher knowl­ edge for active-learning instruction: Expert–novice comparison reveals differences,A. Auerbach
Teacher knowl­ edge for active-learning instruction: Expert–novice comparison reveals differences,M. Higgins
Teacher knowl­ edge for active-learning instruction: Expert–novice comparison reveals differences,P. Brickman
